,index,geometry,x,y,count
0,0,POINT (-0.1193159112493162 51.52961882177767),-0.11931591124931618,51.529618821777674,2
1,1,POINT (-0.1225450297728591 51.53172983197854),-0.12254502977285907,51.53172983197854,2
2,2,POINT (-0.1210240743186167 51.53085119152772),-0.1210240743186167,51.53085119152772,6
3,3,POINT (-0.121742279076665 51.5305659408637),-0.12174227907666503,51.5305659408637,1
4,4,POINT (-0.1211426911547299 51.53042145123162),-0.12114269115472992,51.530421451231625,2
5,5,POINT (-0.1187161734174738 51.52772977015012),-0.1187161734174738,51.527729770150124,1
6,6,POINT (-0.1188524661115846 51.52792079868121),-0.1188524661115846,51.52792079868121,1
7,7,POINT (-0.1191080568048405 51.52817309057626),-0.11910805680484048,51.52817309057626,4
8,8,POINT (-0.1195620376603374 51.52871902045804),-0.11956203766033742,51.52871902045804,2
9,9,POINT (-0.1176387821626631 51.52903438521023),-0.11763878216266312,51.52903438521023,3
10,10,POINT (-0.1173846869393179 51.52855370432252),-0.11738468693931794,51.52855370432252,1
11,11,POINT (-0.1201035537547337 51.52939764196163),-0.12010355375473365,51.52939764196163,4
12,12,POINT (-0.1253556769777799 51.54157659824067),-0.1253556769777799,51.54157659824067,3
13,13,POINT (-0.1257159881213141 51.54228376906511),-0.12571598812131413,51.542283769065115,2
14,14,POINT (-0.1257640349830129 51.5425183412387),-0.1257640349830129,51.5425183412387,3
15,15,POINT (-0.1259262826326685 51.54313242200535),-0.1259262826326685,51.54313242200535,3
16,16,POINT (-0.1259769832321253 51.54342881479089),-0.1259769832321253,51.543428814790886,3
17,17,POINT (-0.1263672285372313 51.54503687841694),-0.12636722853723129,51.545036878416944,4
18,18,POINT (-0.123579733161007 51.53882087396643),-0.12357973316100704,51.53882087396643,2
19,19,POINT (-0.1246157891412168 51.539488137722),-0.12461578914121677,51.539488137721996,2
20,20,POINT (-0.1250073820512047 51.54040542605812),-0.12500738205120465,51.54040542605812,1
21,21,POINT (-0.1253841215880306 51.52825017652906),-0.12538412158803058,51.528250176529056,1
22,22,POINT (-0.1245850549536624 51.52734714586448),-0.12458505495366236,51.52734714586448,1
23,23,POINT (-0.1271288375879995 51.52754066087309),-0.1271288375879995,51.527540660873086,1
24,24,POINT (-0.1275238461784374 51.5279413781501),-0.1275238461784374,51.5279413781501,1
25,25,POINT (-0.1257288046821748 51.52863336954571),-0.12572880468217484,51.52863336954571,3
26,26,POINT (-0.1275320391305639 51.52858501228847),-0.12753203913056393,51.528585012288474,3
27,27,POINT (-0.1262210052321468 51.52913181885998),-0.1262210052321468,51.52913181885998,14
28,28,POINT (-0.1229773361591112 51.52928179688007),-0.1229773361591112,51.52928179688007,1
29,29,POINT (-0.1244076305313247 51.52981221184844),-0.12440763053132471,51.529812211848444,13
30,30,POINT (-0.1257554991685364 51.52928224538002),-0.12575549916853643,51.52928224538002,2
31,31,POINT (-0.1255800975360838 51.5293511129554),-0.12558009753608385,51.5293511129554,1
32,32,POINT (-0.1238987771041701 51.53004705199496),-0.12389877710417012,51.530047051994956,9
33,33,POINT (-0.1278422722256449 51.53241959887971),-0.1278422722256449,51.53241959887971,2
34,34,POINT (-0.1272429233561529 51.53147777992874),-0.12724292335615286,51.531477779928736,1
35,35,POINT (-0.1255097051894733 51.5320581693397),-0.12550970518947333,51.5320581693397,3
36,36,POINT (-0.124616031985252 51.53472895516258),-0.124616031985252,51.534728955162585,1
37,37,POINT (-0.1232431850722393 51.5303511226849),-0.12324318507223926,51.5303511226849,4
38,38,POINT (-0.1229991187818319 51.53045575710475),-0.12299911878183194,51.53045575710475,2
39,39,POINT (-0.1224204689196748 51.53335548097689),-0.12242046891967484,51.53335548097689,2
40,40,POINT (-0.122558734854663 51.53059771540655),-0.12255873485466302,51.53059771540655,13
41,41,POINT (-0.122452257201957 51.53293334227009),-0.12245225720195703,51.53293334227009,2
42,42,POINT (-0.1270707933624416 51.53400300201162),-0.12707079336244156,51.53400300201162,2
