,index,Longitude,Latitude,geometry,Severity,Number Of Casualties,Day,Road Type,Speed Limit,Junction Detail,Junction Control,Pedestrian Crossing,Light Condition Band,Weather,Road Surface,Special Conditions,Carriage Way Hazard,Year,Month,Hour
0,0,-0.125851,51.515194,POINT (530141.802810479 181250.2755988661),2 serious,1,Thursday,2 one-way st,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,2 other object in cwy,2017,1,16
1,1,-0.114164,51.522471,POINT (530931.8308552591 182080.3343165701),2 serious,1,Tuesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,1 road-dry,0 none,6 ped in cwy (not inj),2015,1,12
2,2,-0.141925,51.5275,POINT (528991.7849438745 182590.3109211597),2 serious,1,Sunday,6 single cwy,1 <= 20 mph,6 crossroads,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,7,20
3,3,-0.126941,51.523755,POINT (530041.8066949727 182200.3534711463),3 slight,1,Monday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2016,11,6
4,4,-0.150508,51.550477,POINT (528331.8300512502 185130.3678686852),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,2 raining,2 road-wet,0 none,2 other object in cwy,2018,1,12
5,5,-0.162615,51.543563,POINT (527511.7647246962 184340.3451378638),3 slight,1,Friday,6 single cwy,1 <= 20 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,2 raining,1 road-dry,0 none,0 none,2017,7,15
6,6,-0.125726,51.532278,POINT (530101.8129194753 183150.3011894785),3 slight,1,Wednesday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,8,9
7,7,-0.141759,51.54926,POINT (528941.8352784829 185010.4055761043),3 slight,1,Friday,9 unknown,2 30 mph,0 no jun in 20m,-2 not applicable,9 unknown (s/r),1 daylight,1 fine,1 road-dry,0 none,0 none,2017,3,8
8,8,-0.139913,51.537603,POINT (529102.783481449 183717.3511597486),3 slight,1,Friday,6 single cwy,1 <= 20 mph,6 crossroads,9 unknown (s/r),0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,9 unknown (s/r),2019,7,16
9,9,-0.127897,51.518014,POINT (529991.8219455627 181560.236133245),3 slight,1,Friday,2 one-way st,2 30 mph,0 no jun in 20m,-2 not applicable,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,4,9
10,10,-0.195985,51.545789,POINT (525191.7615062941 184530.2975081573),3 slight,3,Thursday,2 one-way st,1 <= 20 mph,6 crossroads,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,2 road-wet,0 none,0 none,2017,12,21
11,11,-0.138167,51.538322,POINT (529221.83269217 183800.3869673758),2 serious,1,Thursday,2 one-way st,1 <= 20 mph,6 crossroads,2 auto sig,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,6,13
12,12,-0.122301,51.530722,POINT (530343.8026463678 182983.3591725825),3 slight,1,Tuesday,2 one-way st,1 <= 20 mph,5 slip road,2 auto sig,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2019,5,3
13,13,-0.131048,51.517471,POINT (529774.7505785871 181494.2644914649),3 slight,1,Monday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,7,16
14,14,-0.182827,51.550262,POINT (526091.7459258181 185050.2985494395),3 slight,1,Saturday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,8 central refuge,1 daylight,2 raining,2 road-wet,0 none,0 none,2016,2,15
15,15,-0.137192,51.541022,POINT (529281.8018466354 184102.3592655417),3 slight,1,Monday,2 one-way st,1 <= 20 mph,0 no jun in 20m,-2 not applicable,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,11,9
16,16,-0.114343,51.518157,POINT (530931.7755019494 181600.2826308736),3 slight,1,Tuesday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,6,15
17,17,-0.136774,51.523012,POINT (529361.7915270554 182100.3139910343),3 slight,1,Wednesday,3 dual cwy,1 <= 20 mph,6 crossroads,2 auto sig,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2018,3,22
18,18,-0.11879,51.515171,POINT (530631.7842193686 181260.2882716996),3 slight,1,Monday,3 dual cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,12,9
19,19,-0.144402,51.529338,POINT (528814.7847602819 182790.3436285019),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,9 other jun,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,3,12
