,index,Longitude,Latitude,geometry,Severity,Number Of Casualties,Day,Road Type,Speed Limit,Junction Detail,Junction Control,Pedestrian Crossing,Light Condition Band,Weather,Road Surface,Special Conditions,Carriage Way Hazard,Year,Month,Hour,index_right,dis
3,3,-0.126941,51.523755,POINT (530041.8066949727 182200.3534711463),3 slight,1,Monday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2016,11,6,279.0,9.814258283253606
5,5,-0.162615,51.543563,POINT (527511.7647246962 184340.3451378638),3 slight,1,Friday,6 single cwy,1 <= 20 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,2 raining,1 road-dry,0 none,0 none,2017,7,15,1042.0,5.163738683475465
8,8,-0.139913,51.537603,POINT (529102.783481449 183717.3511597486),3 slight,1,Friday,6 single cwy,1 <= 20 mph,6 crossroads,9 unknown (s/r),0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,9 unknown (s/r),2019,7,16,513.0,3.64358630201334
10,10,-0.195985,51.545789,POINT (525191.7615062941 184530.2975081573),3 slight,3,Thursday,2 one-way st,1 <= 20 mph,6 crossroads,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,2 road-wet,0 none,0 none,2017,12,21,2274.0,4.248922216085783
13,13,-0.131048,51.517471,POINT (529774.7505785871 181494.2644914649),3 slight,1,Monday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,7,16,749.0,9.339675055000269
14,14,-0.182827,51.550262,POINT (526091.7459258181 185050.2985494395),3 slight,1,Saturday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,8 central refuge,1 daylight,2 raining,2 road-wet,0 none,0 none,2016,2,15,1636.0,16.60421864006877
17,17,-0.136774,51.523012,POINT (529361.7915270554 182100.3139910343),3 slight,1,Wednesday,3 dual cwy,1 <= 20 mph,6 crossroads,2 auto sig,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2018,3,22,818.0,9.732943549090574
19,19,-0.144402,51.529338,POINT (528814.7847602819 182790.3436285019),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,9 other jun,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,3,12,910.0,10.578182149806443
23,23,-0.191208,51.546228,POINT (525521.7792400245 184587.2957237554),3 slight,2,Saturday,3 dual cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,2 dark,2 raining,2 road-wet,0 none,0 none,2018,3,2,1688.0,18.074336103257213
25,25,-0.140736,51.549603,POINT (529011.7920548461 185050.3509912196),3 slight,4,Thursday,2 one-way st,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,8,15,717.0,12.675873364859587
26,26,-0.126915,51.520876,POINT (530051.8056243646 181880.2443004082),3 slight,1,Wednesday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,2 raining,2 road-wet,0 none,0 none,2017,5,22,264.0,9.843103144285509
27,27,-0.122626,51.53052,POINT (530321.8371330264 182960.317551659),2 serious,1,Friday,6 single cwy,2 30 mph,9 other jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,5,15,62.0,9.824437280255571
28,28,-0.11029,51.522049,POINT (531201.7905639152 182040.3398552105),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,5,17,129.0,5.343960810373329
29,29,-0.126933,51.51692,POINT (530061.8172968242 181440.2908820739),3 slight,1,Friday,2 one-way st,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,2 road-wet,0 none,0 none,2015,11,9,335.0,1.7507607863049301
33,33,-0.129305,51.525861,POINT (529871.8277156606 182430.3533320565),3 slight,2,Friday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,2 dark,1 fine,1 road-dry,0 none,0 none,2015,1,20,317.0,14.76288123934744
34,34,-0.120492,51.519335,POINT (530501.8008007 181720.3052604885),3 slight,1,Sunday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,2 dark,1 fine,1 road-dry,0 none,0 none,2015,1,23,260.0,8.274290649579621
35,35,-0.147514,51.542516,POINT (528561.8236204443 184250.322666732),3 slight,1,Wednesday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,5,18,678.0,11.25437280604681
