,index_left,culture,food_drink,hotel,pub_bar,school,shop_mall,undefined
0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2,4.0,0.0,4.0,1.0,0.0,0.0,1.0,3.0
3,7.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
4,8.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
5,11.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0
6,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
8,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,21.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10,22.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
11,23.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,25.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
13,26.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
14,27.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
15,28.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
16,29.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0
17,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,32.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
19,33.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
20,34.0,0.0,4.0,0.0,0.0,0.0,6.0,3.0
21,35.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
22,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,37.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
24,38.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
25,40.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
26,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,43.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,44.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30,47.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0
31,49.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,53.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
34,54.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
35,55.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0
36,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37,59.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0
38,60.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
39,63.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
40,64.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
41,65.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
42,66.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
43,67.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
44,68.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
45,69.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
46,70.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
47,71.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
48,72.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0
49,74.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0
50,75.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
51,76.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52,77.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0
53,78.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
54,79.0,0.0,3.0,0.0,0.0,0.0,9.0,2.0
55,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
